2025-12-28 10:57:38,160 | INFO | push_on_max_http             | http         | returned   |     0.005242s | records=10
2025-12-28 10:57:38,165 | INFO | push_on_max_http             | http         | returned   |     0.001835s | records=10
2025-12-28 10:57:38,169 | INFO | push_on_max_http             | http         | returned   |     0.001673s | records=10
2025-12-28 10:57:38,173 | INFO | push_on_max_http             | http         | returned   |     0.001642s | records=10
2025-12-28 10:57:38,175 | INFO | push_on_max_http             | http         | returned   |     0.001216s | records=10
2025-12-28 10:57:38,177 | INFO | push_on_max_http             | http         | returned   |     0.001271s | records=10
2025-12-28 10:57:38,179 | INFO | push_on_max_http             | http         | returned   |     0.001141s | records=10
2025-12-28 10:57:38,181 | INFO | push_on_max_http             | http         | returned   |     0.001203s | records=10
2025-12-28 10:57:38,183 | INFO | push_on_max_http             | http         | returned   |     0.001401s | records=10
2025-12-28 10:57:38,184 | INFO | push_on_max_http             | http         | returned   |     0.001238s | records=10
2025-12-28 10:57:38,186 | INFO | push_on_max_http             | http         | returned   |     0.001314s | records=10
2025-12-28 10:57:38,188 | INFO | push_on_max_http             | http         | returned   |     0.001334s | records=10
2025-12-28 10:57:38,190 | INFO | push_on_max_http             | http         | returned   |     0.001415s | records=10
2025-12-28 10:57:38,192 | INFO | push_on_max_http             | http         | returned   |     0.001159s | records=10
2025-12-28 10:57:38,194 | INFO | push_on_max_http             | http         | returned   |     0.001222s | records=10
2025-12-28 10:57:38,196 | INFO | push_on_max_http             | http         | returned   |     0.001328s | records=10
2025-12-28 10:57:38,198 | INFO | push_on_max_http             | http         | returned   |     0.001310s | records=10
2025-12-28 10:57:38,200 | INFO | push_on_max_http             | http         | returned   |     0.001337s | records=10
2025-12-28 10:57:38,202 | INFO | push_on_max_http             | http         | returned   |     0.001296s | records=10
2025-12-28 10:57:38,203 | INFO | push_on_max_http             | http         | returned   |     0.001198s | records=10
2025-12-28 10:57:38,206 | INFO | push_on_max_http             | http         | returned   |     0.001483s | records=10
2025-12-28 10:57:38,207 | INFO | push_on_max_http             | http         | returned   |     0.001257s | records=10
2025-12-28 10:57:38,209 | INFO | push_on_max_http             | http         | returned   |     0.001275s | records=10
2025-12-28 10:57:38,211 | INFO | push_on_max_http             | http         | returned   |     0.001249s | records=10
2025-12-28 10:57:38,213 | INFO | push_on_max_http             | http         | returned   |     0.001312s | records=10
2025-12-28 10:57:38,215 | INFO | push_on_max_http             | http         | returned   |     0.001381s | records=10
2025-12-28 10:57:38,217 | INFO | push_on_max_http             | http         | returned   |     0.001394s | records=10
2025-12-28 10:57:38,219 | INFO | push_on_max_http             | http         | returned   |     0.001270s | records=10
2025-12-28 10:57:38,221 | INFO | push_on_max_http             | http         | returned   |     0.001212s | records=10
2025-12-28 10:57:38,223 | INFO | push_on_max_http             | http         | returned   |     0.001217s | records=10
2025-12-28 10:57:38,224 | INFO | push_on_max_http             | http         | returned   |     0.001200s | records=10
2025-12-28 10:57:38,226 | INFO | push_on_max_http             | http         | returned   |     0.001206s | records=10
2025-12-28 10:57:38,228 | INFO | push_on_max_http             | http         | returned   |     0.001351s | records=10
2025-12-28 10:57:38,230 | INFO | push_on_max_http             | http         | returned   |     0.001203s | records=10
2025-12-28 10:57:38,231 | INFO | push_on_max_http             | http         | returned   |     0.001247s | records=10
2025-12-28 10:57:38,233 | INFO | push_on_max_http             | http         | returned   |     0.001219s | records=10
2025-12-28 10:57:38,235 | INFO | push_on_max_http             | http         | returned   |     0.001197s | records=10
2025-12-28 10:57:38,237 | INFO | push_on_max_http             | http         | returned   |     0.001229s | records=10
